"cohort_month","month_index","active_customers","cohort_customers","retention_rate"
2016-09-01 00:00:00.000,0.0,2,2,1.0000
2016-10-01 00:00:00.000,0.0,270,270,1.0000
2016-10-01 00:00:00.000,1.0,1,270,0.0037
2016-10-01 00:00:00.000,3.0,1,270,0.0037
2016-10-01 00:00:00.000,5.0,1,270,0.0037
2016-10-01 00:00:00.000,6.0,1,270,0.0037
2016-12-01 00:00:00.000,0.0,1,1,1.0000
2016-12-01 00:00:00.000,1.0,1,1,1.0000
2017-01-01 00:00:00.000,0.0,731,731,1.0000
2017-01-01 00:00:00.000,1.0,6,731,0.0082
2017-01-01 00:00:00.000,2.0,3,731,0.0041
2017-01-01 00:00:00.000,3.0,2,731,0.0027
2017-01-01 00:00:00.000,4.0,5,731,0.0068
2017-01-01 00:00:00.000,5.0,4,731,0.0055
2017-01-01 00:00:00.000,6.0,3,731,0.0041
2017-02-01 00:00:00.000,0.0,1648,1648,1.0000
2017-02-01 00:00:00.000,1.0,7,1648,0.0042
2017-02-01 00:00:00.000,2.0,7,1648,0.0042
2017-02-01 00:00:00.000,3.0,3,1648,0.0018
2017-02-01 00:00:00.000,4.0,8,1648,0.0049
2017-02-01 00:00:00.000,5.0,5,1648,0.0030
2017-02-01 00:00:00.000,6.0,4,1648,0.0024
2017-03-01 00:00:00.000,0.0,2545,2545,1.0000
2017-03-01 00:00:00.000,1.0,16,2545,0.0063
2017-03-01 00:00:00.000,2.0,13,2545,0.0051
2017-03-01 00:00:00.000,3.0,15,2545,0.0059
2017-03-01 00:00:00.000,4.0,11,2545,0.0043
2017-03-01 00:00:00.000,5.0,8,2545,0.0031
2017-03-01 00:00:00.000,6.0,4,2545,0.0016
2017-04-01 00:00:00.000,0.0,2300,2300,1.0000
2017-04-01 00:00:00.000,1.0,15,2300,0.0065
2017-04-01 00:00:00.000,2.0,7,2300,0.0030
2017-04-01 00:00:00.000,3.0,6,2300,0.0026
2017-04-01 00:00:00.000,4.0,10,2300,0.0043
2017-04-01 00:00:00.000,5.0,6,2300,0.0026
2017-04-01 00:00:00.000,6.0,8,2300,0.0035
2017-05-01 00:00:00.000,0.0,3504,3504,1.0000
2017-05-01 00:00:00.000,1.0,18,3504,0.0051
2017-05-01 00:00:00.000,2.0,23,3504,0.0066
2017-05-01 00:00:00.000,3.0,20,3504,0.0057
2017-05-01 00:00:00.000,4.0,11,3504,0.0031
2017-05-01 00:00:00.000,5.0,12,3504,0.0034
2017-05-01 00:00:00.000,6.0,15,3504,0.0043
2017-06-01 00:00:00.000,0.0,3082,3082,1.0000
2017-06-01 00:00:00.000,1.0,18,3082,0.0058
2017-06-01 00:00:00.000,2.0,17,3082,0.0055
2017-06-01 00:00:00.000,3.0,12,3082,0.0039
2017-06-01 00:00:00.000,4.0,8,3082,0.0026
2017-06-01 00:00:00.000,5.0,11,3082,0.0036
2017-06-01 00:00:00.000,6.0,11,3082,0.0036
2017-07-01 00:00:00.000,0.0,3806,3806,1.0000
2017-07-01 00:00:00.000,1.0,29,3806,0.0076
2017-07-01 00:00:00.000,2.0,13,3806,0.0034
2017-07-01 00:00:00.000,3.0,9,3806,0.0024
2017-07-01 00:00:00.000,4.0,11,3806,0.0029
2017-07-01 00:00:00.000,5.0,8,3806,0.0021
2017-07-01 00:00:00.000,6.0,12,3806,0.0032
2017-08-01 00:00:00.000,0.0,4095,4095,1.0000
2017-08-01 00:00:00.000,1.0,28,4095,0.0068
2017-08-01 00:00:00.000,2.0,14,4095,0.0034
2017-08-01 00:00:00.000,3.0,11,4095,0.0027
2017-08-01 00:00:00.000,4.0,14,4095,0.0034
2017-08-01 00:00:00.000,5.0,22,4095,0.0054
2017-08-01 00:00:00.000,6.0,12,4095,0.0029
2017-09-01 00:00:00.000,0.0,4038,4038,1.0000
2017-09-01 00:00:00.000,1.0,28,4038,0.0069
2017-09-01 00:00:00.000,2.0,22,4038,0.0054
2017-09-01 00:00:00.000,3.0,12,4038,0.0030
2017-09-01 00:00:00.000,4.0,18,4038,0.0045
2017-09-01 00:00:00.000,5.0,9,4038,0.0022
2017-09-01 00:00:00.000,6.0,9,4038,0.0022
2017-10-01 00:00:00.000,0.0,4358,4358,1.0000
2017-10-01 00:00:00.000,1.0,31,4358,0.0071
2017-10-01 00:00:00.000,2.0,11,4358,0.0025
2017-10-01 00:00:00.000,3.0,4,4358,0.0009
2017-10-01 00:00:00.000,4.0,10,4358,0.0023
2017-10-01 00:00:00.000,5.0,9,4358,0.0021
2017-10-01 00:00:00.000,6.0,9,4358,0.0021
2017-11-01 00:00:00.000,0.0,7131,7131,1.0000
2017-11-01 00:00:00.000,1.0,40,7131,0.0056
2017-11-01 00:00:00.000,2.0,28,7131,0.0039
2017-11-01 00:00:00.000,3.0,12,7131,0.0017
2017-11-01 00:00:00.000,4.0,13,7131,0.0018
2017-11-01 00:00:00.000,5.0,13,7131,0.0018
2017-11-01 00:00:00.000,6.0,8,7131,0.0011
2017-12-01 00:00:00.000,0.0,5390,5390,1.0000
2017-12-01 00:00:00.000,1.0,12,5390,0.0022
2017-12-01 00:00:00.000,2.0,15,5390,0.0028
2017-12-01 00:00:00.000,3.0,18,5390,0.0033
2017-12-01 00:00:00.000,4.0,14,5390,0.0026
2017-12-01 00:00:00.000,5.0,11,5390,0.0020
2017-12-01 00:00:00.000,6.0,9,5390,0.0017
2018-01-01 00:00:00.000,0.0,6909,6909,1.0000
2018-01-01 00:00:00.000,1.0,23,6909,0.0033
2018-01-01 00:00:00.000,2.0,25,6909,0.0036
2018-01-01 00:00:00.000,3.0,20,6909,0.0029
2018-01-01 00:00:00.000,4.0,20,6909,0.0029
2018-01-01 00:00:00.000,5.0,11,6909,0.0016
2018-01-01 00:00:00.000,6.0,12,6909,0.0017
2018-02-01 00:00:00.000,0.0,6344,6344,1.0000
2018-02-01 00:00:00.000,1.0,23,6344,0.0036
2018-02-01 00:00:00.000,2.0,25,6344,0.0039
2018-02-01 00:00:00.000,3.0,19,6344,0.0030
2018-02-01 00:00:00.000,4.0,17,6344,0.0027
2018-02-01 00:00:00.000,5.0,14,6344,0.0022
2018-02-01 00:00:00.000,6.0,13,6344,0.0020
2018-03-01 00:00:00.000,0.0,6903,6903,1.0000
2018-03-01 00:00:00.000,1.0,28,6903,0.0041
2018-03-01 00:00:00.000,2.0,21,6903,0.0030
2018-03-01 00:00:00.000,3.0,20,6903,0.0029
2018-03-01 00:00:00.000,4.0,9,6903,0.0013
2018-03-01 00:00:00.000,5.0,8,6903,0.0012
2018-04-01 00:00:00.000,0.0,6678,6678,1.0000
2018-04-01 00:00:00.000,1.0,39,6678,0.0058
2018-04-01 00:00:00.000,2.0,21,6678,0.0031
2018-04-01 00:00:00.000,3.0,16,6678,0.0024
2018-04-01 00:00:00.000,4.0,9,6678,0.0013
2018-05-01 00:00:00.000,0.0,6556,6556,1.0000
2018-05-01 00:00:00.000,1.0,34,6556,0.0052
2018-05-01 00:00:00.000,2.0,17,6556,0.0026
2018-05-01 00:00:00.000,3.0,13,6556,0.0020
2018-06-01 00:00:00.000,0.0,5917,5917,1.0000
2018-06-01 00:00:00.000,1.0,25,5917,0.0042
2018-06-01 00:00:00.000,2.0,16,5917,0.0027
2018-07-01 00:00:00.000,0.0,6004,6004,1.0000
2018-07-01 00:00:00.000,1.0,31,6004,0.0052
2018-08-01 00:00:00.000,0.0,6187,6187,1.0000
2018-08-01 00:00:00.000,1.0,1,6187,0.0002
